id,text
1328861951645007872,"CENVIRON 2020 – Special Issue on Water. 

“Water Security: Holistic Approach Towards Water Resilience and Sustainability”.

Ikuti sesi Keynote 1 bersama-sama YBhg Dato’ Ir Hj Nor Hisham bin Mohd Ghazali, Ketua Pengarah, JPS Malaysia pada jam 9.30 pagi (18.11.2020)

@twt_UniMAP https://t.co/V3CtJ46Tam"
1328761294753697792,@OhMyPerlis Hahaha takdak pun. Org perlis tak ramai kat unimap 😂
1328705275704971264,"Saya dekat Unimap, Anda di mana? https://t.co/XSuiqQyALI"
1328669721332383753,@cidaaa16 Haha unimap
1328646011179257860,"Temui Prof. Madya Ir. Ts. Dr. Mohd Firdaus Omar, Penyelaras Unit Promosi dan Pemasaran UniMAP, pada 18 November 2020 (Rabu) jam 10.30 pagi hingga 12.00 tengah hari. Sesi perbincangan boleh dilayari melalui pautan Google Meet seperti berikut:

https://t.co/QireblSVmZ https://t.co/ihzyu0jSUC"
1328631164362375170,"RT @Unimapcnfession: #UC135182 

Unimap masih nk buat exam face to face ke? Rasa selesa ke perlis xde kes?. Student datang dari luar perlis…"
1328631065053855745,"RT @Unimapcnfession: #UC135184 

Apa guna unimap buat survey banyak-banyak tapi tak pernah perbaik pulih."
1328629432295165952,@annyongyien @abahlew Nak balik tapi unimap tak bagi sbb diorang busuk!
1328616865304780800,@fathul_aliq untung la.. unimap nak bagi balik yuran pun 40 kali meeting pala butoh diorang la
1332175745318207489,2021 🤙🏻 #unimap https://t.co/5nhFwZK501
1332172059925831681,@irisphineas Bukan utm je.. unimap pun.. jauh lagi better🤣
1332168084128288769,masuk kelas sir ezral hari ni rasa macam masuk kelas kat unimap rasa yg macam BETUL BETUL KELAS lah. WEHHH BEST GILAAAAA. ALHAMDULILLAH DAPAT LECTURER BAGUS NAK MAMPOS MACAM NI!!!!!!!
1332023684249264128,"@uhaniAaziz Hi awak, charge cod ke unimap berapa ya?"
1332006441377353729,*mencarut dan memaki hamun UniMAP WiFi*
1331954652070309888,"Tarikh penubuhan

Penubuhan SISKOR bermula pada tahun 2014 yang disertai oleh universiti yang terkemuka seperti Universiti Utara Malaysia(UUM), Universiti Sultan Zainal Abidin(UniSZA), Universiti Tun Hussein Onn Malaysia(UTHM) dan Universiti Malaysia Perlis(UniMAP)."
1331945826919141376,"@mstfjml_ um dah habis midsem, ump takda midsem, unimap lambat 2 minggu. Hahaha"
1331933496634339328,RT @harakahdailyHD: UniMAP berada kelompok universiti terbaik Asia https://t.co/cvG0hy2cN7
1331910414322466816,RT @harakahdailyHD: UniMAP berada kelompok universiti terbaik Asia https://t.co/cvG0hy2cN7
1331909118416678913,RT @harakahdailyHD: UniMAP berada kelompok universiti terbaik Asia https://t.co/cvG0hy2cN7
1331907111463239680,RT @harakahdailyHD: UniMAP berada kelompok universiti terbaik Asia https://t.co/cvG0hy2cN7
1331898302078435330,@nblhhn unimap max 300 je sem lepas sksksk tp tah la tkdpt lagi so tkthu berapa
1331891171124154369,"kalau betul unimap pulangkan duit kolej kediaman full, memang aku up bajet meja belajo lagi rm100 😂"
1331890633015914499,RT @harakahdailyHD: UniMAP berada kelompok universiti terbaik Asia https://t.co/cvG0hy2cN7
1331880452983021568,UniMAP berada kelompok universiti terbaik Asia https://t.co/cvG0hy2cN7
1331863961336041472,"salam, unimap bila nak bagi full refund yuran penginapan sem lepas :)"
1331861133217546240,@cajwannn @niknasrull Masalah sekarang Nie bila unimap nak bagi duit yuran ..🤨
1331829106984402944,@keysteana Qis kalau nak tau org yang cakap ni actually housemate reza time kat kangaq dulu.. time tu qis pon kat unimap lagi hahahaha
1331824657423450120,unimap punya wifi ni dia punya lambat nak mampus dari aku masak maggi sampai dah habis makan maggi still tak dapat nak connect dekat laptop 🤦🏻‍♀️
1331820469335441408,"Hai korang‼️ Ada Facebook dengan Twitter tak? Kalau ada, jom follow acc dekat bawah ni. Kitorang ada sediakan macam-macam tentang obesiti tauu. Ada challenge jugak tauu🙈 Tunguu
Facebook https://t.co/TQM3jJ1VNi

Twitter https://t.co/5LyYjWG0T1"
1331818708071694336,So total 4 orang lah uthm yang sambung unimap kan
1331817656127635457,"Hey everyone! We’re on another social media platform too! Click the follow button so you won’t miss any information about thyca! 💙🦋

Instagram :
https://t.co/PCYZCHs0DB

Twitter :
https://t.co/A2X0Ov5giR

Facebook :
https://t.co/yekNvaBTWZ"
1331816857142140930,"Unimap tingkat 14 kedudukan dalam tempoh lima tahun. Tahniah!
https://t.co/iiowR32PwD"
1331809201446821888,"RT @HFMDUnimap: HFMD begins with fever, feeling sick and poor appetite. In one to two days, ulcers may develop on mouth. Some patient has r…"
1331808182050586630,"@frhnasdfghjkl Dah la suruh exam dalam dewan, taguna punya Unimap"
1331804822379634690,H: Unimap di kedudukan ke- 207 terbaik Asia https://t.co/y9dIY5pH9c
1331804525821190145,"Program ini terdiri daripada 3 kategori pertandingan dan Sesi Bual Bicara yang dipanggil Apa Khabar IPTA bersama MPP dari UiTM Seremban, UTeM, UniMAP, UTHM dan Alumni Talk yang menampilkan 3 panel yang merupakan alumni UiTM Raub."
1331803111015337984,"Program ini terdiri daripada 3 kategori pertandingan dan Sesi Bual Bicara yang dipanggil Apa Khabar IPTA bersama MPP dari UiTM Seremban, UTeM, UniMAP, UTHM dan Alumni Talk yang menampilkan 3 panel yang merupakan alumni UiTM Raub."
1331667429106171907,@shahiraNadiaa HAHAHAHAHAHHA APANI UITM TANYA UNIMAP https://t.co/6X6ePHn4zS
1331638034706513925,RT @MerdekaSuara: https://t.co/Yn7WBPrvbO
1331624209835933697,"Anak kitorg dlm perut lg dah ada bag friendship 😂 memula fai bli kan baby kite, pastu kite blikn baby dia smula, klu zmn unimap ni mmg dah bawak dah sama2 g kelas 😂😂 xdpt jmpa fai pun spjg dua2 mgndung ni, klu xblh amek gmbr laga perut. https://t.co/S31U7nL21v"
1331529205616504832,RT @harakahdailyHD: UniMAP ungguli produk inovasi pandemik Covid https://t.co/y34D4w19Fp
